City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
59,Victoria,22.2855,114.1577,65.32,89,99,1.01,HK,2022-01-29 00:51:34,overcast clouds
60,Mitu,1.1983,-70.1733,73.11,61,100,2.59,CO,2022-01-29 00:51:26,overcast clouds
61,Gadsden,34.0143,-86.0066,40.95,53,75,1.01,US,2022-01-29 00:55:25,broken clouds
62,La Ronge,55.1001,-105.2842,12.45,79,100,5.75,CA,2022-01-29 00:55:21,overcast clouds
63,Issoire,45.55,3.25,31.26,88,12,1.21,FR,2022-01-29 00:55:25,few clouds
64,Lompoc,34.6391,-120.4579,69.94,45,0,10.36,US,2022-01-29 00:55:25,clear sky
65,Mar Del Plata,-38.0023,-57.5575,68.88,75,0,15.99,AR,2022-01-29 00:55:26,clear sky
66,Zemio,5.0314,25.1361,66.67,30,54,4.68,CF,2022-01-29 00:55:26,broken clouds
67,Puerto Ayora,-0.7393,-90.3518,73.36,86,35,7.43,EC,2022-01-29 00:55:26,scattered clouds
68,Baykit,61.67,96.37,-12.1,100,100,1.86,RU,2022-01-29 00:55:27,overcast clouds
69,Haimen,23.1935,116.6142,60.69,81,100,18.03,CN,2022-01-29 00:55:27,overcast clouds
70,Kodiak,57.79,-152.4072,23.72,84,100,12.68,US,2022-01-29 00:55:27,overcast clouds
71,Clyde River,70.4692,-68.5914,-9.17,84,100,34.52,CA,2022-01-29 00:55:27,heavy snow
72,Buin,-33.7333,-70.75,73.74,74,0,4.18,CL,2022-01-29 00:55:28,clear sky
73,Ribeira Grande,38.5167,-28.7,58.75,62,82,9.17,PT,2022-01-29 00:55:28,broken clouds
74,Cheremukhovo,60.3484,59.9851,-7.85,97,94,3.09,RU,2022-01-29 00:55:28,overcast clouds
75,Boulder,40.0833,-105.3505,34.12,45,0,0.0,US,2022-01-29 00:53:46,clear sky
76,Malaya Vishera,58.8454,32.2222,22.33,96,100,7.36,RU,2022-01-29 00:55:29,light snow
77,Tura,25.5198,90.2201,49.5,57,0,3.47,IN,2022-01-29 00:55:29,clear sky
78,Carnarvon,-24.8667,113.6333,77.07,83,40,13.8,AU,2022-01-29 00:55:29,scattered clouds
79,Rjukan,59.8789,8.5941,34.7,96,100,6.64,NO,2022-01-29 00:55:30,overcast clouds
80,Hithadhoo,-0.6,73.0833,80.37,66,45,8.03,MV,2022-01-29 00:55:30,scattered clouds
81,Yar-Sale,66.8333,70.8333,-8.0,99,100,7.31,RU,2022-01-29 00:55:30,overcast clouds
82,Busselton,-33.65,115.3333,80.04,44,100,7.74,AU,2022-01-29 00:55:31,overcast clouds
83,Carutapera,-1.195,-46.02,74.84,91,100,11.01,BR,2022-01-29 00:50:44,overcast clouds
