City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,East London,ZA,2022-01-27 23:47:20,-33.0153,27.9116,73.42,91,13,15.84
68,Carnarvon,AU,2022-01-27 23:47:20,-24.8667,113.6333,75.27,83,1,3.44
69,Bud,US,2022-01-27 23:47:21,39.447,-86.1758,33.24,82,100,6.85
70,Pangody,RU,2022-01-27 23:47:21,65.85,74.4859,10.11,93,100,14.63
71,Waipawa,NZ,2022-01-27 23:47:21,-41.4122,175.5153,62.92,49,70,7.56
72,Shenjiamen,CN,2022-01-27 23:47:22,29.9576,122.298,42.62,88,100,16.46
73,Hasaki,JP,2022-01-27 23:47:22,35.7333,140.8333,39.6,66,100,7.85
74,Mattru,SL,2022-01-27 23:47:22,7.6244,-11.8332,74.57,90,81,1.23
75,Strangnas,SE,2022-01-27 23:47:23,59.3774,17.0312,34.21,82,100,14.12
76,Cidreira,BR,2022-01-27 23:47:23,-30.1811,-50.2056,72.0,64,80,13.4
77,Mecca,SA,2022-01-27 23:47:23,21.4267,39.8261,61.99,51,3,9.33
78,Longyearbyen,SJ,2022-01-27 23:47:24,78.2186,15.6401,10.24,79,75,9.22
79,Gamba,GA,2022-01-27 23:47:24,-2.65,10.0,76.53,87,99,1.79
80,Belmonte,BR,2022-01-27 23:47:24,-15.8631,-38.8828,79.3,85,78,6.93
81,Saldanha,ZA,2022-01-27 23:47:25,-33.0117,17.9442,60.85,84,0,17.45
82,Luderitz,NA,2022-01-27 23:47:25,-26.6481,15.1594,67.3,75,0,21.7
83,Touros,BR,2022-01-27 23:47:26,-5.1989,-35.4608,77.9,77,83,8.93
84,Nurota,UZ,2022-01-27 23:47:26,40.5614,65.6886,44.69,22,100,7.63
85,Airai,TL,2022-01-27 23:47:26,-8.9266,125.4092,67.86,71,99,3.29
86,Panacan,PH,2022-01-27 23:47:26,9.2463,118.4082,80.47,81,100,3.29
87,Port Hardy,CA,2022-01-27 23:45:55,50.6996,-127.4199,49.75,61,20,13.8
88,Ucluelet,CA,2022-01-27 23:44:47,48.9329,-125.5528,47.08,86,57,4.0
89,Cumberland,US,2022-01-27 23:45:34,35.0502,-78.8664,40.57,44,0,3.44
90,Port Alfred,ZA,2022-01-27 23:47:27,-33.5906,26.891,71.46,89,77,14.38
91,Deep River,CA,2022-01-27 23:45:52,46.1001,-77.4995,22.95,81,100,9.82
92,Port Lincoln,AU,2022-01-27 23:47:27,-34.7333,135.8667,70.75,69,35,9.42
93,Thunder Bay,CA,2022-01-27 23:47:28,48.4001,-89.3168,4.98,53,0,9.22
94,Atuona,PF,2022-01-27 23:48:28,-9.8,-139.0333,78.24,77,3,17.36
95,Lagoa,PT,2022-01-27 23:48:29,39.05,-27.9833,59.11,74,22,16.42
96,Boa Vista,BR,2022-01-27 23:48:29,2.8197,-60.6733,87.78,48,40,6.91
97,Sitka,US,2022-01-27 23:46:17,57.0531,-135.33,44.49,65,90,14.97
98,Tiksi,RU,2022-01-27 23:48:30,71.6872,128.8694,-13.99,97,33,10.51
99,Vaini,TO,2022-01-27 23:48:30,-21.2,-175.2,82.8,77,73,15.52
100,Nelson Bay,AU,2022-01-27 23:48:30,-32.7167,152.15,82.96,58,5,3.0
101,Turochak,RU,2022-01-27 23:48:31,52.2576,87.1224,0.0,100,98,1.97
102,Rio Gallegos,AR,2022-01-27 23:45:08,-51.6226,-69.2181,60.28,58,30,12.5
103,Pisco,PE,2022-01-27 23:48:31,-13.7,-76.2167,69.85,73,0,25.32
104,Joshimath,IN,2022-01-27 23:48:31,30.5667,79.5667,28.49,37,0,10.25
105,Dikson,RU,2022-01-27 23:48:32,73.5069,80.5464,1.02,95,100,25.59
106,Karratha,AU,2022-01-27 23:48:32,-20.7377,116.8463,80.6,63,10,13.09
107,Norman Wells,CA,2022-01-27 23:48:32,65.282,-126.8329,-0.36,78,100,5.75
108,Singaparna,ID,2022-01-27 23:48:33,-7.3515,108.111,73.72,90,100,0.94
109,Veraval,IN,2022-01-27 23:48:33,20.9,70.3667,62.56,38,0,15.1
110,Bol,TD,2022-01-27 23:48:34,13.4586,14.7147,65.48,37,5,21.74
111,Turukhansk,RU,2022-01-27 23:48:34,65.8167,87.9833,-2.2,91,100,14.72
112,Jacareacanga,BR,2022-01-27 23:48:35,-6.2222,-57.7528,73.06,98,81,2.39
113,Nouadhibou,MR,2022-01-27 23:48:35,20.931,-17.0347,62.58,82,100,17.27
114,Coos Bay,US,2022-01-27 23:48:35,43.3665,-124.2179,54.32,80,0,6.91
115,Belyy Yar,RU,2022-01-27 23:48:36,53.6039,91.3903,-5.91,89,100,2.24
116,Batsfjord,NO,2022-01-27 23:48:36,70.6345,29.7185,24.73,89,100,5.17
